@relation R_data_frame-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemovePercentage-P90.0

@attribute IMP_TASA numeric
@attribute NUM_ASC {0,1}
@attribute NUM_BAN numeric
@attribute NUM_HAB numeric
@attribute NUM_VAL_M2_UTIL numeric
@attribute NUM_VAL_M2_CONST numeric
@attribute TXT_SUB_CATE_ACTI {Adosado,Apartamento,Atico,Bungalow,Casa,Chalet,Cortijo,Duplex,Estudio,Pareado,Piso,Triplex,Unifamiliar}

@data
60021.58,0,1,2,56.95,92.57,Casa
65933.91,0,1,2,56.95,92.57,Casa
126983.23,0,1,5,114.64,138.12,Chalet
54837,0,1,3,76,90,Piso
108475.53,0,1,2,73.88,94.6,Piso
54802.74,0,2,3,113,113,Piso
209859.1,?,2,3,180,198,Adosado
132437.5,?,1,1,36.78,41.97,Piso
116073.04,0,2,4,90,121.8,Piso
110122.11,0,1,2,?,?,Piso
111738.68,0,3,4,89.91,109.5,Adosado
45116.79,0,1,3,50.5,64.53,Piso
44092.56,0,1,3,57.5,71.88,Piso
60450,0,1,2,69.35,93,Piso
125395.08,0,2,4,276,276,Adosado
90426.79,0,1,3,68.41,100.5,Piso
27350.4,0,1,3,68.33,80,Piso
82056.01,0,2,2,80.3,106.22,Piso
117200.84,0,1,2,58.29,67,Piso
221242.77,0,2,4,139.75,168.37,Adosado
208377,?,2,3,81.31,94.65,Piso
55413.79,0,2,3,65.35,85.33,Piso
53408.9,0,1,2,46.22,60.01,Piso
61570.6,0,1,1,51.81,67.66,Piso
52384.61,0,1,2,51.59,63.38,Piso
58944.2,0,2,3,78.43,101.29,Piso
61570.6,0,1,1,51.81,67.66,Piso
52384.61,0,1,2,51.59,63.28,Piso
?,?,1,2,45.69,63.68,Piso
?,?,1,2,45.69,63.68,Piso
?,?,1,1,39.73,55.9,Piso
?,?,1,2,45.69,63.68,Piso
?,?,1,1,39.73,55.9,Piso
?,?,1,1,47.85,68.3,Piso
?,?,2,3,85.95,122.55,Piso
209325.5,?,2,3,82.93,95.13,Piso
?,?,1,2,55.98,79.39,Piso
?,?,2,3,80.12,113.76,Piso
?,?,1,2,43.13,59.08,Piso
?,?,1,2,64.84,94.04,Piso
?,?,1,2,55.98,79.39,Piso
?,?,1,2,43.13,59.08,Piso
?,?,1,2,64.84,94.04,Piso
?,?,1,2,55.98,79.39,Piso
?,?,2,3,80.12,113.76,Piso
?,?,1,2,43.13,59.08,Piso
?,?,1,2,64.84,94.04,Piso
?,?,1,2,45.79,63.73,Piso
?,?,1,1,39.73,55.91,Piso
?,?,2,3,85.95,122.72,Piso
?,?,1,2,45.69,63.73,Piso
?,?,1,1,39.73,55.91,Piso
?,?,1,2,57.4,81.2,Piso
?,?,1,2,62.58,90.78,Piso
?,?,1,1,47.29,68.16,Piso
207992,?,2,3,81.31,94.65,Piso
208881,?,2,3,82.93,95.13,Piso
74895.67,0,2,3,82.47,82.47,Piso
88585.63,0,2,3,101.6,101.6,Piso
96126.85,0,2,3,117.8,117.8,Piso
102369.11,0,2,3,114,114,Piso
63095.1,0,2,3,71.95,71.95,Piso
64128.15,0,2,3,73.34,73.34,Piso
101772.76,0,2,3,122.46,122.46,Piso
62697.76,0,2,3,71.95,71.95,Piso
63940.15,0,2,3,73.34,73.34,Piso
131286,?,1,1,36.78,41.97,Piso
106571.78,0,2,3,124.45,124.45,Piso
100863.15,0,2,3,115.43,115.43,Piso
61276.54,0,2,3,65.1,65.1,Piso
105913.4,0,2,3,121.1,121.1,Piso
115118.73,0,2,3,135.4,135.4,Piso
107884.52,0,2,3,124.45,124.45,Piso
101350.37,0,2,3,115.43,115.43,Piso
105317.65,0,2,3,116.55,116.55,Piso
134955.1,0,2,3,89.98,126.93,Piso
140560.6,0,2,3,80.6,140.21,Piso
136203.7,0,2,3,87.8,136.89,Piso
129150.6,0,2,3,86.35,120.82,Piso
45333,?,1,1,35.41,50.37,Piso
51552.5,?,1,1,40.66,60.65,Piso
45909,?,1,1,36.62,51.01,Piso
19756,0,1,2,?,?,Piso
210473.5,?,2,3,82.44,95.22,Piso
?,?,2,3,202.42,202.42,Adosado
66481.44,0,2,4,331.17,331.17,Casa
73773.73,0,1,2,45.75,57.9,Piso
?,?,1,2,64.98,76.39,Piso
330395.87,0,3,2,223,260,Chalet
59238.4,0,?,?,42.88,56.96,Piso
76294.96,0,?,?,55.72,74.11,Piso
72482.09,0,?,?,52.92,70.38,Piso
92116.55,0,?,?,62.9,78.99,Piso
74106.38,0,?,?,50.45,64.07,Piso
57527.1,0,?,?,36.83,46.77,Piso
51912.2,0,?,?,36.2,45.94,Piso
52737.1,0,?,?,36.75,46.67,Piso
47467.68,0,1,2,55.72,72.92,Piso
140231.64,0,2,4,169.32,204,Chalet
84017.24,0,2,3,64.58,74.23,Piso
98816.35,0,2,3,80.82,102,Piso
47081.71,0,1,1,31.91,36.68,Piso
97818.11,0,1,3,64.84,85.48,Piso
78475.52,0,2,2,76.68,97.65,Piso
65757.1,0,1,3,99.26,124.07,Piso
45062.95,0,1,1,97.03,121.3,Casa
188543.7,0,2,4,193.98,232.77,Chalet
142325.94,0,2,4,?,?,Piso
164142.14,0,2,3,96,120,Piso
96405.76,0,1,2,54.38,70.23,Piso
165609.19,0,?,4,175,234.25,Duplex
154045.55,0,?,4,181.25,230.9,Duplex
?,?,1,2,63.6,74.58,Piso
171576.83,0,2,4,124.72,168.86,Piso
140715.42,0,2,3,88.69,112.38,Piso
203290.06,0,2,2,111.79,145.19,Piso
158450.5,0,3,4,111.93,243.77,Adosado
120201.42,0,2,3,69.98,93.26,Piso
24135.72,0,1,2,45.25,60.27,Piso
?,?,2,2,67.89,88.02,Piso
58423.91,0,1,2,58.16,76.22,Piso
58802.62,0,1,2,58.16,76.33,Piso
60643.77,0,1,2,62.38,76.22,Piso
64947.24,0,1,2,61.35,82.41,Piso
60420.83,0,1,2,62.38,76.22,Piso
65857.06,0,1,2,62.88,82.41,Piso
103280.36,1,1,2,67.43,87.59,Piso
131829.15,0,2,4,106.43,130.72,Duplex
103708.04,0,2,2,72.21,87.58,Piso
58350.95,0,1,4,99.15,138,Piso
49280,0,2,3,89.8,121,Piso
143913.76,0,2,3,82.77,112.33,Piso
95503.62,0,2,3,76.13,91.72,Adosado
84467.66,0,2,3,71.43,89,Piso
210219.65,0,2,3,262.82,274,Casa
65449.45,1,1,3,82.46,103.07,Piso
106962.43,0,1,2,57,68,Piso
64723.5,0,2,4,89.99,107.99,Piso
327748.6,0,2,4,?,?,Chalet
103867.13,0,1,3,76.91,92,Piso
58575,0,1,2,53.42,71,Piso
61875,0,1,2,54.7,75,Piso
52800,0,1,2,50.05,64,Piso
68475,0,1,2,62.21,83,Piso
