@relation INMUEBLE_SIN_OUTLIER-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.NumericToNominal-R3-weka.filters.unsupervised.attribute.Remove-R1

@attribute IMP_TASA numeric
@attribute NUM_ASC {0,1}
@attribute NUM_BAN numeric
@attribute NUM_HAB numeric
@attribute NUM_VAL_M2_UTIL numeric
@attribute NUM_VAL_M2_CONST numeric
@attribute TXT_SUB_CATE_ACTI {Piso,Casa,Atico,Adosado,Duplex,Apartamento,Chalet}

@data
241009.29,?,2,3,111,150.87,Piso
179503,?,2,3,92.91,106.19,Adosado
91050.86,0,1,4,103,114,Piso
136967.16,0,1,2,65.75,75.4,Piso
194898.85,1,1,2,59.91,77.59,Piso
205825.64,1,1,2,61.23,81.94,Piso
72986.31,0,1,4,122.5,147,Casa
220431.24,0,2,2,62.48,82.74,Piso
202821.25,0,2,2,57.74,76.13,Piso
231066.31,1,1,3,62.03,95.61,Piso
213061.46,1,2,2,68.87,88.16,Piso
198315.04,0,1,2,59.77,78.95,Piso
200450.16,0,1,2,68.22,70.67,Piso
222253.51,1,1,2,59.77,88.48,Piso
220964.07,0,2,2,62.48,82.94,Piso
212529.85,0,2,2,60.78,81.39,Piso
187357.37,1,1,2,53.84,71.75,Piso
77705.06,1,1,2,50.35,57.75,Duplex
231732.92,0,1,3,72.03,97.42,Piso
205900.24,0,2,2,65.94,86.56,Piso
187458.28,1,1,2,59.77,76.96,Piso
200121.33,1,1,2,59.76,78.48,Piso
216420.61,0,2,2,62.21,82.88,Piso
246815.59,0,1,3,70.87,94.52,Piso
253640.74,0,1,3,78.54,106.63,Piso
211228.53,1,2,2,65.65,88.8,Piso
186528.11,1,1,2,56.93,75.4,Piso
191945.83,0,1,2,59.91,77.59,Piso
202707.07,1,1,2,61.23,81.94,Piso
199923.8,0,2,2,57.74,76.13,Piso
227427.47,1,1,3,62.03,95.61,Piso
209706.16,1,2,2,68.87,88.16,Piso
195310.27,0,1,2,59.77,78.95,Piso
197413.04,0,1,2,60.67,79.8,Piso
218886.03,1,2,2,59.77,88.48,Piso
257698.99,1,1,3,78.54,106.63,Piso
214608.18,1,2,2,65.75,88.8,Piso
72100,0,1,2,?,93.73,Casa
103938,0,1,1,39.17,51.21,Piso
148469,0,2,2,64.46,86.21,Piso
133688,0,1,2,55.97,75.97,Piso
164568,0,2,3,73.3,97.93,Piso
155624,0,1,3,68.89,92.43,Piso
133688,0,1,2,55.97,75.69,Piso
137453,0,1,2,55.75,77.7,Piso
175639,?,2,3,83.27,112.76,Piso
208400,?,2,3,74.86,91.07,Piso
182983,0,1,2,93.27,117.36,Atico
171609,0,1,3,78.77,101.78,Atico
188037.05,0,2,3,83.75,118.58,Piso
?,?,4,4,?,?,Adosado
213825.5,?,2,2,80.89,107.45,Piso
148361.83,?,2,3,73,93.56,Piso
161653.39,?,2,3,72,104.35,Piso
161618.62,0,2,3,69.35,101.92,Piso
190003.37,?,2,3,85,119.82,Piso
191160.96,0,2,3,84,120.55,Piso
173971.54,?,2,3,79.25,109.71,Piso
179521.63,0,2,3,79,113.21,Piso
135501.48,?,2,2,66.15,85.46,Piso
149440.14,?,2,3,73.35,94.24,Piso
170543.29,0,2,3,86.6,111.85,Piso
171671.6,?,2,3,87.25,112.59,Piso
171153.19,?,2,3,78.95,112.25,Piso
171907.63,?,2,3,86.6,111.85,Piso
173044.98,0,2,3,87.25,112.59,Piso
180069,?,2,3,94.6,128.6,Piso
183787,?,2,3,109.15,144.5,Piso
195757.4,0,2,3,122.4,156.82,Piso
180900.9,0,2,3,102.85,138.56,Piso
119884.25,0,1,2,64.87,88.36,Piso
183696.8,0,2,3,67.34,92.52,Duplex
139812.75,?,2,3,72.15,94.15,Piso
138322,?,2,3,68.8,89.24,Piso
147125.9,?,2,3,84.2,108.58,Piso
140434.7,?,2,3,83.05,105.59,Piso
147447,?,2,3,84.15,108.85,Piso
147125.9,0,2,3,84.2,108.58,Piso
134775.35,0,1,3,109.66,125,Casa
105505.29,1,1,3,95.52,95.52,Piso
95179.85,0,2,3,99,100,Adosado
136961.95,0,3,3,93.8,103.6,Adosado
92597.76,0,1,4,113.15,131,Casa
197024.69,?,?,?,68.62,68.62,Piso
144949.35,0,2,3,92.91,106.19,Adosado
169010.88,0,3,4,150.35,182.8,Adosado
102168.69,0,1,1,49.49,49.49,Piso
223652,0,1,3,156.4,156.4,Casa
124596.42,0,1,2,78,78,Piso
137025,0,1,1,50.85,56.55,Piso
138038.81,0,2,4,90,101.64,Piso
230759,0,3,3,164,196,Adosado
192696,0,3,3,136.92,162,Adosado
192696,0,3,3,137.92,162,Adosado
192696,0,3,3,137.92,162,Adosado
200561,0,3,3,137.92,162,Adosado
232036,0,3,3,144.26,179,Adosado
207662,0,3,3,136.24,169,Adosado
104003.74,1,1,4,97.88,121.38,Piso
96909.35,0,1,3,85,100,Piso
133646,0,2,3,81.76,102.94,Adosado
133646,0,2,3,81.76,102.94,Adosado
136319,0,2,3,81.76,102.4,Adosado
136319,0,2,3,81.76,102.4,Adosado
110082.01,0,?,?,91,91,Piso
144385.06,0,2,2,64,64,Piso
124827.92,0,1,3,85.18,95,Piso
81565.72,0,1,3,76,76,Piso
116099.39,0,2,3,73.98,92.48,Piso
185101.25,0,2,4,118,118,Piso
89862.85,0,2,3,70.77,96.11,Piso
87007.05,0,4,?,150,171,Casa
131900,0,2,3,81.7,92.56,Piso
263848,?,2,3,89.2,112,Piso
50161.26,1,1,3,66.14,86.57,Piso
197922.1,0,2,3,92.1,118.96,Piso
?,0,1,2,96.3,110.81,Duplex
124743.55,0,1,4,69.75,83.54,Piso
82053,0,1,2,47.87,60.78,Piso
89903.07,0,1,3,50,61.7,Piso
259120.41,?,2,2,134.89,134.89,Piso
148489.06,?,2,5,125.52,167.86,Piso
112529,0,2,3,205.2,?,Duplex
97234.08,0,1,3,79.76,100.52,Piso
112529,0,2,3,205.2,?,Duplex
109650,0,2,2,74.94,85.74,Piso
239441.5,0,2,3,190.76,203.78,Chalet
94697.71,0,2,3,86.31,103.4,Piso
108882.95,0,2,5,?,141,Casa
181653,0,1,2,60.23,80.2,Atico
205720.2,0,2,3,77.82,101.34,Piso
422251,0,2,3,122.29,136.21,Chalet
151450.67,?,1,1,117.29,117.29,Piso
75334.85,?,2,2,66.14,87.86,Piso
41012.07,?,1,1,32.95,43.28,Piso
67336.59,?,1,2,65.78,77.73,Piso
78863.81,?,2,2,70.24,93.26,Piso
78646.83,?,2,2,70.24,93.26,Piso
200358.85,0,3,3,203.41,218.4,Adosado
154325.07,0,2,3,79.25,100.71,Piso
318953,1,4,4,267.35,335.74,Adosado
?,0,4,4,202.71,250.86,Adosado
?,0,4,4,202.71,250.86,Adosado
?,0,4,4,202.71,250.86,Adosado
?,0,4,4,202.71,250.86,Adosado
?,0,4,4,202.71,250.86,Adosado
?,0,4,4,202.71,250.86,Adosado
?,0,4,4,202.71,252.4,Adosado
108376.24,0,1,2,68.76,83.84,Piso
73727.69,1,1,2,69.97,90,Piso
144546.33,?,2,3,95.55,103.66,Piso
71515.99,1,2,3,88.48,114.31,Piso
305525,0,2,3,89.02,111.1,Adosado
342159,0,2,3,101.79,134.18,Adosado
342159,0,2,3,101.79,134.18,Adosado
342159,0,2,3,101.79,134.18,Adosado
283305,0,2,3,89.02,111.1,Adosado
283305,0,2,3,89.02,111.1,Adosado
151851.7,0,2,3,92.91,106.19,Adosado
135017.58,?,1,2,?,80.4,Piso
342159,0,2,3,101.79,134.18,Adosado
342159,0,2,3,101.79,134.18,Adosado
342159,0,2,3,101.79,134.18,Adosado
305525,0,2,3,89.02,110.1,Adosado
349518,0,2,3,95.11,134.43,Adosado
349518,0,2,3,95.11,134.43,Adosado
349518,0,2,3,95.11,134.43,Adosado
360442.5,0,2,3,101.62,141.35,Adosado
